Tip Matrice,Tip alocare,Nr threads,Timp executie
,,4,0
,,10,
,,10,
,,10,
,,1,0
,,2,0
,,2,0
,,2,0
,,2,0
,,2,1.7592
,,2,0.8681
,,1,0.19396
,,4,1.35755
,,4,1.88495
,,4,1.94021
,,4,1.38901
,,4,1.06738
,,1,0.30863
,,2,1.06962
,,4,1.89904
,,8,3.96488
,,16,3.98143
,,1,0.1789
,,2,0
,,2,1.04577
,,2,100.9078
,,2,484.9
,,2,322.8975
,,4,285.1357
,,8,282.0556
,,16,334.0161
,,2,297.6332
,,4,379.3089
,,8,269.8484
,,16,278.7822
,,2,335.4623
,,4,315.1412
,,8,290.782
,,16,280.5301
,,2,338.9862
,,4,275.5514
,,8,283.0813
,,16,310.2423
,,2,278.9246
,,4,272.2088
,,8,289.02
,,16,281.0085
,,1,16.22163
,,1,124.04417
,,1,116.46047
,,1,116.83549
,,1,0
,,1,0
,,1,0
,,1,0
,,1,0
,,1,17.00829
,,2,14.18004
,,4,14.20577
,,8,14.2113
,,16,0
,,16,0
,,16,13.73998
,,2,15.00291
,,4,15.12949
,,8,14.13514
,,16,0
,,16,0
,,16,0
,,16,0
,,16,0
,,16,0
,,16,19.57396
,,16,16.93045
,,16,0
,,16,0
,,16,14.57693
,,2,14.71861
,,4,13.78503
,,8,0
,,16,0
,,16,0
,,8,0
,,4,14.50283
,,8,0
,,8,13.98707
,,16,14.73768
,,8,13.83599
,,2,15.46085
,,4,14.92315
,,8,14.61098
,,16,14.32492
,,2,14.64486
,,4,14.95155
,,8,14.02569
,,16,15.59292
,,8,15.17333
,,4,14.31726
,,1,39518.04
,,2,32047.175
,,4,33389
,,8,26178.1666666667
,,16,36464.4333333333
,,2,29549.3
,,4,35502.5
,,8,28224.15
,,8,30865.1
,,16,32564.65
