Tip Matrice,Nr threads,Timp executie
,1,0
,1,0
,1,0
,1,7.4184
,1,7.52555
,1,7.55182
,1,7.42284
,1,10.2411
,1,0
,1,961.14095
,2,1034.43728
,2,1172.29123
,2,1018.68826
,4,1075.96248
,8,1066.15517
,16,1083.21578
,2,1119.86247
,2,1076.95326
,4,985.36237
,8,1133.1928
,16,1121.91383
,2,1171.48189
,4,1015.22547
,8,1053.29896
,16,1063.854
,2,1045.82773
,4,1032.72653
,8,1006.12716
,16,1200.03113
,2,988.47242
,4,1011.60387
,8,1028.26752
,16,1207.46335
,1,0
,1,128.96499
,2,125.1977
,1,121.92037
,1,124.47681
,2,134.40734
,4,133.14402
,8,130.55031
,16,126.09129
,2,125.55024
,4,132.41665
,8,134.18304
,16,128.05487
,2,126.7992
,4,128.35066
,8,126.02883
,16,127.28138
,2,128.96732
,4,129.35342
,8,135.73681
,16,122.63595
,2,130.56032
,4,123.92209
,8,132.03652
,16,127.3638
,1,129921.93644
,2,99085.82318
,4,106731.90988
,8,108561.801766667
,16,106346.654766667
,4,73402.158
,8,69843.4318
,16,73742.11605
,2,71182.6284666667
,4,98404.82045
